mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-354.12656,39.83398,-10.10011,11.904452,-14.130215,6.405795,-2.2270997,8.281654,-6.6716056,8.523796,7.0420876,13.727401,9.7300625,3
-352.12814,47.965313,-12.177168,6.7529173,-12.215275,7.6090817,-0.57799023,7.29161,-5.281443,7.9986806,7.850445,14.630399,10.667618,3
-355.14243,40.19033,-8.580853,13.15458,-13.207253,8.143175,-1.4493546,9.064281,-5.0255117,11.032957,8.727001,15.28726,11.204678,3
-351.81815,47.069054,-9.187699,9.673067,-11.911422,7.2987285,0.7212481,8.672921,-2.8522365,10.65055,8.925088,16.499575,12.705633,3
-319.04684,57.495865,-15.97911,-6.6495814,-17.623257,4.1930842,4.0009875,5.3998733,-5.3020954,9.41377,14.719017,16.981909,15.538989,3
-305.13745,58.361168,-17.887545,-10.1784115,-20.509523,2.721067,4.473083,4.653766,-7.535158,9.476089,16.016293,16.319765,15.934008,3
-352.86676,47.564304,-9.840652,8.978411,-10.948542,8.3014,1.0143813,8.168957,-3.137554,9.825315,8.927672,16.743267,13.676107,3
-344.31842,47.589237,-9.10378,7.8713584,-16.449648,6.3019567,-1.0258151,9.160428,-4.195401,10.445984,9.575876,16.474009,11.831157,3
-353.2101,46.953064,-9.649676,9.911085,-12.368165,7.373557,-1.1699198,7.8311377,-4.911054,8.929193,7.587766,15.233289,11.661682,3
-346.49152,48.868103,-6.6748333,8.012202,-11.007252,5.7209663,1.8927727,8.076607,-2.0426822,8.559735,10.807769,15.016623,14.060082,3
-335.95428,51.269054,-12.229912,2.3323317,-12.941388,4.5790453,3.864158,9.2479925,-2.0395412,8.8916235,12.220847,16.714819,13.90327,3
-340.13742,47.824512,-6.1041408,9.785317,-11.46613,7.7989044,0.7923743,8.278878,-1.8631498,10.305634,11.18845,16.747375,16.641813,3
-330.40265,58.326103,-13.359577,-3.4158628,-15.668514,4.286748,3.618697,7.064434,-2.8750467,8.472771,12.521522,17.142115,15.688597,3
-335.8641,60.713715,-11.519132,-2.8217044,-16.366213,3.8827326,3.802469,8.49269,-0.68753994,8.8697,11.11115,16.781046,15.0809765,3
-337.20105,45.411186,-5.7356405,10.057106,-13.1511965,8.000277,0.38679695,8.706727,-2.5182996,10.4580145,11.3582535,16.747,16.691147,3
-338.60867,60.70603,-9.731142,0.4770957,-13.001057,4.982207,2.8335524,8.13169,0.23257925,8.390236,9.753627,16.364115,15.915111,3
-332.0543,53.020817,-12.166802,-1.8593162,-16.099674,8.819894,6.0248766,8.770172,-3.5585256,7.5794716,10.880476,15.422255,14.05531,3
-331.82773,52.055035,-8.951614,3.8195136,-14.998116,6.2107162,2.0933344,8.211351,-3.6755462,7.693687,10.059263,15.703856,14.786627,3
-332.8307,57.877262,-12.83572,-1.7675773,-13.449678,5.6349907,3.8142352,7.152267,-2.3016872,8.231494,11.822267,17.004957,15.681308,3
-340.61816,58.504948,-10.747716,1.0540922,-11.3819,6.084573,3.4405165,7.640918,-0.85175514,8.189587,10.474825,16.772907,15.974748,3
-337.95746,58.944317,-10.025207,1.5645301,-11.822295,5.0504737,2.380264,7.2749367,-0.9045181,9.242374,11.908229,16.770279,15.57213,3
-331.28415,49.86626,-8.362213,5.5728593,-14.975983,5.791056,1.7338805,8.232624,-3.3141534,8.674254,9.976025,15.9076185,14.705118,3
-346.66168,45.431915,-8.335499,7.8818817,-12.113589,8.127353,2.4904132,9.300152,-1.6551036,9.731374,10.222906,15.439515,14.963044,3
-334.6319,40.69526,-8.106003,8.984987,-15.510887,7.6053815,2.8060918,10.149689,-3.4861312,11.095389,10.709889,15.218956,15.889182,3
-331.74512,50.384518,-8.225116,5.216331,-14.779622,6.22932,0.84398496,8.046294,-3.4338903,8.318861,10.310844,15.965634,15.242908,3
-343.23114,47.682384,-9.217457,5.789465,-12.692901,8.320919,3.2918737,9.510611,-1.8953675,9.451287,11.22852,15.620197,14.983167,3
-330.388,48.30921,-8.029669,6.6093793,-15.3785,5.110351,1.0367427,7.8879147,-3.8273609,9.576409,10.801339,16.035757,14.597456,3
-331.5417,48.923157,-7.316166,7.7454786,-13.847959,5.888723,0.84912485,7.6904325,-3.6764057,9.2483225,10.547217,15.880485,15.184241,3
-346.74088,51.43027,-9.3561125,3.611139,-13.422633,7.1788044,3.0945606,9.865974,-0.9720164,8.811312,10.826852,15.308169,14.850409,3
-340.55167,41.13185,-6.524046,10.992649,-13.739058,8.119875,2.246403,10.167597,-2.6765444,11.082374,10.580238,15.101423,15.503792,3
-335.72733,44.041904,-6.198643,10.946237,-13.362629,5.781249,0.49758667,7.403184,-4.322759,10.619039,11.426482,17.136972,16.378801,3
-358.0189,46.442432,-8.325606,7.726964,-10.45426,7.676522,2.6082916,8.788758,-0.8063682,9.241394,10.445075,16.093529,14.953534,3
-353.5756,48.087624,-8.917006,6.4260516,-11.196497,7.623284,2.6793146,9.030179,-1.0340183,9.241999,10.561584,15.85605,15.460188,3
-331.5261,46.3373,-7.0568323,7.7354994,-15.393214,6.760941,1.8412187,9.55967,-3.6013658,8.938829,10.025177,15.571413,15.803706,3
-337.4896,44.77303,-6.931408,8.679127,-15.022037,7.597808,1.7089213,9.803993,-1.9935246,11.190233,10.70494,15.737769,15.556764,3
-330.1322,50.03824,-8.1255045,5.397624,-15.851822,4.6295114,1.8230227,8.078479,-4.0597167,9.206735,11.223509,16.666172,14.83532,3
-339.43314,46.494305,-6.4312663,9.704898,-12.01184,8.164218,1.3516133,8.754895,-2.2143457,10.132217,10.350967,15.976825,16.211113,3
-332.05383,43.989445,-9.288113,6.584979,-14.390165,8.056537,3.0937402,9.567881,-3.504582,9.970069,11.159325,15.179569,15.468574,3
-331.24396,47.989277,-7.9152603,7.4205465,-14.454669,5.1066713,1.7137798,8.040829,-4.2984943,9.940985,11.767527,16.541616,15.178291,3
-356.3193,44.117474,-9.405286,11.191751,-13.044631,6.514923,-2.6621208,7.309224,-5.736476,9.308092,7.3277607,14.334963,10.9079275,3
-336.43848,55.415127,-11.812168,0.23087831,-16.825571,6.3718395,3.3696384,10.280911,-2.6674573,8.625303,9.387677,15.311301,13.431553,3
-335.94678,53.86051,-10.804355,1.9457397,-12.937539,7.1442013,4.1026506,7.8437815,-3.4702024,7.1921024,10.470484,17.120066,16.171724,3
-332.71786,63.345905,-10.524885,-1.2373035,-12.054013,-0.19880962,-5.26125,3.723234,2.9872556,9.279622,11.96679,20.543322,19.091106,3
-341.40332,66.54547,-8.523707,-0.28454787,-12.4351015,-0.7091519,-3.2120216,3.900958,2.0432684,10.628424,13.565494,20.461824,17.85321,3
