Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
1171.875,59.2525,72.5271,87.4545,69.2125,74.0941,93.9447,69.2858,78.5537,79.5801,66.2532,74.7652,79.3992,74.8129,84.6536,74.6207,71.7018
1187.5,62.5191,80.6391,59.3183,72.6576,63.3486,54.3757,89.4973,82.9575,54.8272,92.7773,102.4986,72.0653,88.9733,59.9856,111.625,74.0942
1203.125,86.9389,74.9951,81.318,95.8991,108.5312,95.1214,123.596,99.5929,120.3601,74.8346,112.7276,85.9305,81.7765,94.0133,68.0225,86.4614
1218.75,94.4977,90.4143,97.9131,71.1551,61.1142,86.4681,52.8709,81.2334,81.7653,91.2465,83.6248,72.0578,86.359,51.7258,81.2961,86.4862
1234.375,86.8874,86.4294,79.9635,76.4283,77.328,86.3637,65.8909,90.6144,62.3767,67.4276,80.7111,85.3875,97.0712,99.5097,104.2099,65.5124
1250,57.6988,93.7788,65.1506,75.212,91.3903,83.1275,100.748,77.5439,108.4297,113.0217,85.6157,83.7066,84.0737,113.7603,98.3284,89.4818
1265.625,86.4966,78.8171,102.6449,97.2321,77.6521,90.7635,96.8844,108.2359,89.2789,101.6631,97.2977,90.443,84.6082,49.4313,68.7548,85.7503
1281.25,95.2603,84.9844,74.2562,62.1368,79.3454,88.3002,94.0449,78.0566,89.8958,83.2227,90.8075,86.8286,104.3479,99.4939,99.8718,79.1101
1296.875,70.9681,94.1385,81.9682,90.1661,82.0142,87.1151,85.5598,73.7151,90.4662,85.2325,90.3796,71.9981,79.7841,70.4018,87.7431,76.6686
1312.5,74.5401,97.5478,78.5164,73.6565,70.4673,87.6612,87.0912,122.068,79.7593,83.3938,95.2159,91.4675,98.6476,88.5196,87.8418,95.4163
1328.125,90.2266,63.4948,90.7377,82.9196,76.4187,96.0106,89.0677,73.7282,88.593,82.2654,97.6511,63.4741,78.2845,68.936,92.3656,63.4317
1343.75,74.8278,106.4797,68.6639,71.3785,75.9912,81.225,88.7269,77.6673,82.053,103.0919,50.867,81.0474,90.1624,73.3139,106.2966,77.3913
1359.375,64.0186,81.8529,60.9413,70.5802,69.7632,80.8458,79.2552,101.6467,88.0965,76.4684,99.9343,78.0529,78.6626,61.6133,85.6785,71.2448
1375,79.9721,83.1683,83.4995,58.6089,74.3735,84.1427,88.6638,66.6539,83.3439,81.5026,76.3163,50.986,80.3574,101.5504,70.7855,66.5475
1390.625,55.7202,83.6366,66.9646,81.8512,65.0729,85.5472,73.329,79.6462,68.9711,75.4731,93.6767,88.0395,66.2304,50.8199,63.5456,76.8758
1406.25,60.5621,68.4616,61.6556,56.0294,61.7566,57.1563,77.2326,83.4371,84.2726,85.9927,60.0529,55.723,102.3321,52.6347,98.8943,57.2601
1421.875,87.5432,76.5294,56.4425,63.7383,66.0267,68.252,45.5826,57.5231,43.8828,69.8518,66.8998,58.9744,53.2639,83.3982,63.3903,63.5503
1437.5,35.1144,59.546,53.168,43.4039,56.1295,80.5524,76.2215,64.0418,72.0457,65.7375,79.3383,52.5592,49.8154,59.9145,53.3581,54.2791
1453.125,55.075,63.5689,51.5307,67.3055,49.0316,55.9726,67.7978,52.8519,63.4842,38.5432,41.4809,51.2686,85.0591,28.1833,80.6149,44.4157
1468.75,43.6237,44.6216,45.9321,40.1622,44.4458,49.9715,44.7197,55.3561,53.5713,62.8583,63.2487,46.805,29.2176,63.0219,44.8877,56.3102
1484.375,46.0651,61.8849,33.4083,35.5017,42.9667,48.453,46.1266,47.0405,49.3035,46.8818,45.7374,33.2449,58.086,53.5933,40.8021,38.1471
1500,27.8751,23.5713,41.9862,44.3256,38.1183,48.3061,40.5707,42.2214,45.2538,55.2059,51.5384,43.3417,39.3002,17.1182,53.6874,38.3455
1515.625,36.1526,50.0107,41.867,34.0618,32.9953,29.0972,30.7391,24.3299,39.8533,22.4411,25.7889,31.2939,33.7793,51.2671,27.7003,30.1403
1531.25,26.4188,23.7529,12.5258,12.7775,18.4561,25.8793,37.7014,45.6705,19.9895,39.4615,21.703,34.5887,30.8815,12.9021,17.7353,20.4261
1546.875,26.4734,35.4332,22.4482,31.8006,22.8146,21.721,14.5442,7.2077,16.09,17.7264,39.5018,8.0349,13.4423,28.721,31.818,23.2682
1562.5,10.1407,20.2791,26.6405,13.4306,18.5454,27.9045,33.5007,27.2796,23.3352,18.393,15.2475,35.1709,31.4404,14.5346,11.2534,15.3988
