Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
1015.625,25.3938,69.1594,94.7603,64.2565,53.7244,66.1634,30.767,85.0644,47.7323,52.5975,28.8523,23.0012,100.0924,45.7107,66.573,33.7446,59.3637,64.887,68.3092,49.8653,44.736
1031.25,71.5409,31.4042,35.0218,59.4755,65.2131,53.8389,80.1805,42.9555,83.4728,46.0899,86.2391,70.8087,26.6828,60.7124,62.7619,73.5646,44.4351,54.7246,54.6726,50.1578,54.4044
1046.875,75.8552,68.1721,36.2662,48.0318,33.3626,62.0834,58.2312,78.4947,34.1996,78.6002,38.4043,45.6925,72.2637,43.9063,72.2959,16.1842,82.3502,54.7825,60.9078,54.7096,83.3346
1062.5,39.1011,66.4274,88.4932,68.7565,68.3614,70.354,70.9709,51.2311,82.7238,44.54,42.4097,78.4099,67.8425,49.1812,82.3857,106.6937,8.0422,55.3097,68.3471,74.8603,50.4818
1078.125,51.3235,61.712,48.2286,83.23,48.9483,42.4517,49.7361,107.1046,51.8701,70.7804,45.1772,51.9037,41.0182,90.8326,39.5186,39.3832,73.4624,58.1431,72.0061,48.4406,65.6785
1093.75,78.2506,60.8593,70.1413,72.8641,80.9682,69.5207,60.6684,84.4773,56.5485,55.4105,90.2042,62.8767,79.1455,64.6201,79.2458,30.7572,66.1171,86.7059,44.8611,91.2286,87.0786
1109.375,72.9097,67.4264,63.0339,67.1232,48.2432,88.9269,75.0663,44.8671,76.0104,86.3157,63.1863,73.7332,59.5137,72.7604,51.9325,89.2434,69.5651,57.9921,80.0307,53.6552,55.4294
1125,69.448,80.3463,80.6887,58.5233,85.9115,87.4153,64.3524,94.7709,78.116,46.1552,79.0437,73.7257,53.6069,50.2993,84.851,76.7716,65.7395,89.124,73.3262,93.5446,62.2112
1140.625,52.2201,77.2589,65.2987,98.9888,53.8321,116.8268,55.0154,48.4019,75.2347,96.001,82.8561,44.586,89.9385,80.092,51.9161,51.0955,61.7926,73.0356,64.2863,54.1596,64.8446
1156.25,100.3287,75.1931,85.8908,74.3107,86.9404,54.5781,91.1012,74.5876,85.0494,69.5306,65.3788,102.5148,85.4132,92.9285,79.1918,92.236,101.0358,50.4845,83.1156,82.6809,106.7605
1171.875,74.7187,77.2426,76.6099,71.1586,55.949,91.219,103.9778,110.5257,48.7555,87.239,75.552,79.6248,57.3991,44.7471,94.5131,57.864,48.366,105.5358,86.7489,88.3516,48.5736
1187.5,81.7778,83.2988,68.966,103.385,92.4918,54.4808,54.4677,47.8871,104.6048,81.3751,76.9085,62.2374,90.2628,130.5252,55.8483,97.8299,81.0676,72.9902,75.1834,51.0852,74.1599
1203.125,98.4285,82.8586,92.9515,57.1012,62.7783,129.5925,93.2889,80.1427,86.4784,77.9218,68.207,96.2779,70.9526,72.2515,103.1236,91.4892,96.6887,75.1193,98.3289,110.7512,114.8855
1218.75,93.0137,74.9733,77.117,99.6485,87.5111,89.322,106.0065,92.2527,82.8926,88.9289,105.057,90.8958,74.0474,79.8884,95.0753,54.8094,54.6496,117.69,76.7718,86.274,55.2204
1234.375,70.881,85.7769,100.1365,71.5483,84.9705,66.2835,72.6063,98.9444,96.6999,97.3925,45.73,74.0924,86.9543,113.6831,111.7186,109.3566,104.408,55.5805,75.8053,79.0662,104.1354
