Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
781.25,24.1473,15.18,24.1822,10.7734,61.0825,14.2318,35.0741,64.7661,32.6247,38.5294,36.7944,26.1249,44.9115,82.7098,13.0868,31.7271,8.6531,20.5494,17.2249,14.6435,26.9655
796.875,38.1789,48.108,33.6855,22.1506,24.7193,18.9883,33.9591,27.4074,53.4455,46.0263,18.7132,41.0069,25.289,78.9131,30.9825,31.9943,27.5575,39.8,26.3381,21.4426,20.44
812.5,31.1651,19.4946,21.1305,67.5447,36.3722,49.7213,50.7531,32.9903,21.0008,310.4747,61.6485,69.5801,44.4214,22.9017,3.7923,43.4222,24.1044,15.7487,26.6717,10.4833,22.0336
828.125,31.5643,19.8203,70.1707,35.7781,41.1421,35.1953,25.6342,51.4679,18.995,467.9693,14.0772,24.8134,56.6572,15.3096,18.6754,60.1008,49.8967,41.7391,13.9757,27.352,21.8772
843.75,40.1385,31.8913,39.5529,19.8431,50.8279,47.4706,64.4637,25.4754,49.9388,146.7747,38.7467,38.8731,22.8849,42.6843,35.8816,33.5247,6.2642,16.379,15.822,10.9107,9.0971
859.375,32.243,22.661,40.2508,43.4437,62.4379,19.6794,33.3346,50.1581,33.7606,58.5628,44.6107,65.6973,37.9088,12.8928,18.8457,32.6513,36.0671,31.0779,44.1107,25.6976,36.0102
875,54.4183,32.362,41.4091,41.5634,23.4391,31.7825,48.7295,35.0794,42.7492,80.2067,45.6107,33.1416,68.2922,37.2521,18.3611,54.1039,24.9116,31.2949,14.8222,19.0131,9.894
890.625,52.0827,38.8109,56.3666,45.9053,53.2017,56.3542,44.9055,53.5769,48.2362,42.0053,50.4094,43.3954,72.9498,9.8261,21.6001,48.9303,24.3148,22.8505,15.9202,25.2059,30.772
906.25,55.6081,34.9078,49.7986,52.6572,50.0559,34.861,59.1261,53.4681,54.9186,6.7866,36.1173,46.703,29.2085,41.8373,17.67,39.7496,32.48,32.2339,45.4931,27.358,37.7077
921.875,50.9807,28.9888,41.642,44.5923,21.468,26.0834,42.0285,61.1198,43.7147,68.7585,58.7789,55.5122,58.3605,43.1098,37.1082,50.8301,38.7122,41.9975,19.4163,6.1071,17.2827
937.5,48.2552,45.3366,53.885,45.7474,56.2847,50.3206,53.8076,73.0468,52.6415,37.2952,37.096,64.729,45.5856,15.7353,19.6225,45.7445,42.1135,22.8042,39.0822,49.7459,43.7386
