Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav,REC21.wav,REC22.wav
5578.125,28.3979,51.9336,80.8562,62.1017,20.9461,67.2423,109.0546,21.4187,21.8469,28.1621,23.9503,14.5578,21.0569,53.0815,9.8611,15.175,16.9503,48.0601,17.4676,37.5815,1.9491,25.4345
5593.75,7.6699,90.8052,95.0328,41.5035,19.4555,69.8878,113.4544,17.1985,9.4979,22.548,21.5634,26.6282,20.8888,98.5671,38.603,45.6759,24.3031,49.2152,60.4865,44.3243,37.1809,30.1762
5609.375,41.5974,78.2978,28.8902,40.7839,30.109,82.7765,31.4913,40.7874,20.3586,33.2908,12.7623,22.4334,27.0161,94.5367,24.4184,30.4821,14.5059,59.5534,55.5859,44.9046,39.4753,35.7516
5625,18.7341,45.3137,64.6621,41.18,28.1155,50.4145,175.3909,26.0914,17.5057,32.7021,53.9537,11.9206,14.0614,121.4774,22.2707,23.919,34.3243,36.9133,126.0677,47.0662,13.5619,33.9718
5640.625,41.989,41.0955,23.8049,30.6983,27.9693,71.4567,215.1268,21.6864,18.1634,32.0675,60.3439,22.1969,29.3848,86.2017,50.797,25.5048,36.3995,31.6421,84.1847,33.9796,43.3475,37.8229
5656.25,27.3777,83.4499,60.447,14.6961,31.1042,92.2812,188.802,37.1283,20.6772,34.515,116.3522,31.3978,38.5313,121.9973,33.7291,30.7256,27.2681,46.2425,97.8402,47.3179,37.7289,46.0802
5671.875,51.9954,29.9266,44.6316,48.6775,41.0846,62.8486,44.3161,38.1269,20.6876,42.0768,135.6025,19.8128,25.0042,80.521,36.7249,57.6742,50.1572,28.3713,148.5241,54.1623,20.6208,40.1069
5687.5,28.8119,43.295,55.2095,41.4678,34.2288,26.1499,53.0796,38.9613,22.891,20.8592,120.9228,18.7837,35.9069,92.7087,11.5777,27.6334,30.7989,37.1775,136.4914,54.7361,41.0644,46.9714
5703.125,46.5324,48.4303,50.5472,26.9178,40.3859,76.596,196.7768,42.8177,20.7302,52.8526,112.4671,28.9087,22.8463,58.1543,73.2146,72.8524,45.4385,18.7697,168.4653,56.8213,46.961,44.1106
5718.75,39.646,83.1685,19.9919,28.8632,41.3732,47.4923,189.2735,42.6349,19.6928,30.9738,63.6952,22.5619,13.8927,95.3226,24.6508,44.5035,31.6215,33.1445,70.0033,59.8707,9.9906,48.4214
5734.375,49.1559,96.0032,24.4434,31.0312,38.512,17.6544,210.837,30.0119,27.5944,36.0338,80.8815,33.6767,30.8968,57.1495,49.6882,42.241,53.6456,29.6731,253.0347,49.2261,59.7738,45.4013
5750,21.9206,66.3063,76.4332,23.4486,42.5755,78.5064,118.7517,59.3587,20.3371,41.6985,136.8615,16.4402,8.4463,107.0332,49.581,51.081,44.1479,17.7748,313.0715,43.3184,35.2495,43.8959
5765.625,69.0516,92.6752,29.3854,34.4593,43.3114,52.0443,43.2716,25.23,19.7769,51.0544,153.4112,20.1669,41.9525,80.588,29.8174,11.8615,40.0025,59.8478,222.4909,49.3631,9.7187,48.4979
5781.25,17.2389,35.1545,69.5626,34.2066,41.8509,46.7232,177.8707,51.2041,26.1278,44.6374,211.6454,34.6652,36.8234,126.6566,65.2781,18.043,39.7747,62.3321,73.3345,43.4993,35.0199,43.5064
5796.875,61.6806,164.5016,66.1498,18.8005,39.8773,70.2849,205.2578,53.8999,20.8391,50.4097,223.6413,27.8744,11.4905,74.4456,28.0507,20.9007,39.5066,51.3505,72.013,51.0886,33.449,42.5112
5812.5,24.0665,140.845,28.6819,43.7126,46.0548,108.8508,237.334,26.8448,19.4768,52.7177,109.5431,10.076,27.3165,63.3764,15.6526,43.5762,28.4821,62.809,82.1653,42.1679,12.5007,41.8249
