Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav
1125,52.87,59.9124,68.5755,75.4739,64.9744,78.706,60.9395,69.718,73.3758,59.5907,68.2426,73.8299,84.2953
1140.625,86.0929,63.8523,61.7975,83.7766,71.8741,57.252,78.9608,78.8916,69.8385,78.1605,75.3123,82.4826,60.8203
1156.25,66.2215,84.7862,78.7233,85.1257,70.5993,91.8386,64.091,52.9401,74.9738,70.4103,65.3753,58.8696,80.5459
1171.875,99.1241,91.0923,61.0341,77.8308,68.0026,58.8844,75.072,75.7125,77.5184,80.949,81.532,86.6925,45.4597
1187.5,61.4045,44.5461,94.6087,60.7301,99.8662,84.7848,85.5119,67.9109,73.183,72.6539,83.9845,80.6158,119.416
1203.125,89.2219,85.8783,62.6814,77.4077,61.6644,81.9746,84.5075,81.7417,81.7754,94.935,72.0188,66.4083,70.3328
1218.75,79.0296,71.2924,73.6412,75.5359,74.0057,82.635,85.4815,70.9609,89.7068,83.6382,85.0152,90.2476,87.7286
1234.375,84.8298,111.844,84.099,101.8205,106.3777,92.87,80.9628,93.3637,71.1681,68.4132,93.0139,98.8242,80.8292
1250,92.3495,78.1147,85.0365,57.294,39.3262,97.0062,77.2303,70.6768,97.683,100.444,74.3845,61.9267,61.0504
1265.625,81.1702,64.9094,64.8851,92.325,109.0965,92.1643,98.0999,82.2349,80.225,81.4113,92.2405,105.1494,122.4591
1281.25,86.9019,73.1459,87.401,72.0242,84.5788,79.3775,82.4957,74.4943,86.666,91.9314,85.2677,76.0534,56.7012
1296.875,93.5325,72.2326,73.2089,103.9728,62.1619,97.6817,88.6485,78.3001,93.1624,78.3022,90.5062,93.2466,111.1495
1312.5,73.6096,86.3028,80.2882,73.0615,124.0552,67.0885,87.8683,79.8581,92.056,93.2447,81.2087,86.3202,60.6537
1328.125,89.5513,67.7922,79.3326,46.1806,65.6288,87.3069,82.9638,80.5719,77.7942,83.429,90.6238,81.5387,116.5259
1343.75,105.3717,95.1138,71.4595,94.844,59.0405,98.4025,79.8326,78.4411,64.9373,76.147,81.8784,84.6917,73.0394
1359.375,66.0747,66.3506,70.5678,74.6647,77.6622,78.3172,81.2883,72.3438,100.7614,89.6568,81.5524,81.519,85.0918
1375,84.9882,59.4554,64.4996,75.5135,79.2946,104.7611,80.0926,59.851,64.8215,77.211,83.3215,74.149,69.1675
1390.625,54.4046,71.5352,72.8821,47.3257,60.7439,37.0701,74.7,72.1528,92.9915,66.27,70.6344,83.0195,66.1041
1406.25,83.0845,50.531,58.0827,81.1315,72.2343,107.0959,71.3479,66.6395,67.0186,75.317,78.7405,63.3724,91.8916
1421.875,68.4605,61.668,53.7241,59.4369,51.429,76.0154,62.7615,65.9735,62.5214,66.7273,59.3184,76.8559,73.0721
1437.5,66.9674,83.5593,67.1697,41.7525,69.3194,51.4147,73.0178,30.5706,70.9929,65.7305,66.9366,56.1332,66.1794
1453.125,54.5417,29.3594,34.5303,43.0092,30.4494,66.5699,53.6291,58.599,58.2281,48.6653,50.5306,56.393,54.7206
1468.75,56.0926,50.0521,57.4492,55.354,63.0486,51.6167,42.1685,43.2968,51.3791,60.2959,61.9752,56.2086,45.8455
1484.375,44.4762,35.7422,39.9697,40.9333,30.9348,55.9281,58.4307,52.9252,45.0043,46.4371,43.1934,57.1044,63.8398
1500,39.2269,43.7636,37.6491,42.0594,57.2554,43.3035,44.1496,36.5689,50.0868,51.8365,44.3923,33.7568,46.9383
1515.625,33.2942,30.6904,35.0852,21.8025,45.7237,49.4627,32.0252,23.1484,26.56,25.1465,35.0027,42.8382,24.6264
1531.25,33.4713,29.1057,28.5253,39.1723,13.9495,20.8796,29.5219,41.6776,29.7278,32.8169,32.6636,17.9307,30.0412
1546.875,32.2664,37.7074,23.3579,14.201,31.9505,34.0923,23.4013,7.0662,38.2352,24.3673,30.06,33.5991,38.8275
1562.5,8.6608,9.9561,20.2088,25.6978,28.3513,18.8214,23.5623,34.9277,10.0462,11.0186,10.9613,12.4943,31.7638
1578.125,12.6313,12.4164,23.2205,29.8794,30.7749,19.0809,11.913,11.0216,12.6179,16.4998,8.7097,10.1947,33.9931
1593.75,4.8086,17.2783,9.9204,16.2805,23.4337,13.1665,16.6838,28.1062,20.0479,5.6913,9.8903,8.4448,7.7383
1609.375,13.2098,20.8475,7.665,1.228,18.3348,16.1226,12.9211,4.0557,6.3584,5.9121,9.3841,6.0992,27.7486
1625,22.2713,12.9412,17.3567,14.6521,28.3319,16.3236,6.1592,24.675,10.7438,9.1717,10.2569,7.4784,8.1037
1640.625,10.1757,28.3883,11.4936,19.5842,43.3149,18.2228,13.0275,8.672,16.3902,14.3444,9.1358,14.3477,9.2685
1656.25,27.4323,9.2914,18.1096,34.9323,10.1031,27.1967,11.6585,18.9155,18.536,23.5591,28.5982,20.1461,33.5203
1671.875,18.242,25.4247,13.8801,8.2901,26.1998,18.3173,33.545,27.9373,27.1719,21.2504,19.2297,21.5304,26.9076
1687.5,32.2446,20.7008,26.7957,17.2632,7.7368,24.5571,28.1245,24.1319,22.7901,29.7347,39.3271,30.3128,31.6772
1703.125,40.4318,34.4076,20.5107,37.0757,45.4188,41.8086,31.4472,6.0886,36.245,35.5772,26.8086,30.678,41.0981
1718.75,21.7148,22.9147,24.4607,24.0135,27.1172,21.0896,35.5197,34.0923,28.578,35.1481,35.0508,37.2162,44.995
1734.375,51.4184,20.9415,24.6617,36.9225,21.8445,42.207,42.8725,32.9421,51.3517,37.9102,39.2994,39.5154,46.5347
1750,40.0926,42.9901,32.5107,39.0911,45.7735,46.45,40.5252,20.7269,31.7704,38.328,43.5918,45.4378,44.0784
1765.625,38.4498,20.982,32.1905,27.6896,23.1014,54.1595,45.4589,49.5491,43.076,52.5251,40.9904,43.5693,53.8561
1781.25,60.6738,39.7863,31.4952,20.2015,42.757,26.423,46.0226,22.7943,49.0449,37.7261,44.724,44.8516,47.8003
1796.875,38.825,29.8416,34.9761,40.3399,17.3142,60.0566,42.2544,41.905,52.4891,44.2166,51.5173,47.5125,37.6024
1812.5,51.0886,36.1452,36.0305,47.3759,59.4822,55.8115,52.0624,31.4889,35.5369,59.4292,40.8462,48.3545,54.1876
1828.125,50.3847,35.2885,32.1102,25.751,36.9407,44.7124,45.4636,40.74,58.3259,42.2585,56.5943,51.3704,57.4762
1843.75,46.7686,33.2152,36.1435,43.4417,17.3488,50.6721,50.2492,26.9888,42.4438,53.2189,38.8219,45.4099,35.6779
1859.375,45.5447,34.0904,38.4099,34.0017,35.4948,51.0916,42.525,32.8398,56.3574,45.7801,58.2942,43.2341,50.7542
1875,48.1818,38.4607,44.0165,24.025,34.2817,42.0769,52.6838,44.7344,38.4066,42.0562,42.8553,45.5664,50.2153
1890.625,46.901,29.9872,27.8093,43.8937,32.2417,49.0552,29.3879,19.0938,42.44,40.3096,36.1446,50.9078,45.546
