Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav
2671.875,32.117,28.1937,29.4321,24.4926,24.8161,35.1535,18.5403,25.676
2687.5,27.4005,19.8152,22.8329,27.6767,21.6389,33.6266,41.3847,36.5779
2703.125,25.4155,21.2653,29.4309,32.0549,23.3504,16.4923,17.9786,22.4102
2718.75,34.7592,18.1023,24.3625,27.9997,18.8708,37.6351,40.7881,38.2591
2734.375,29.3517,26.6841,34.7662,27.7014,29.6332,26.7736,24.8791,19.4177
2750,30.5577,22.0958,19.82,31.5661,18.7653,20.5677,19.0571,29.4243
2765.625,16.5571,27.884,31.6114,28.2058,23.4279,26.9491,29.8038,27.8463
2781.25,28.5855,24.6865,19.6167,20.4236,21.9365,30.9585,30.2085,27.9993
2796.875,21.8131,13.5331,29.7619,26.7414,25.8812,18.9366,24.7732,20.7484
2812.5,28.972,33.9959,22.0513,20.7296,19.4205,25.7542,22.0319,23.1306
2828.125,25.5762,18.3736,24.1379,23.2944,23.8952,17.0286,25.5104,25.1799
2843.75,27.5567,22.7089,14.7782,25.5935,24.0326,30.6745,23.332,25.3257
2859.375,22.4656,23.6617,27.0053,23.7808,32.1204,23.0297,21.8548,20.9067
2875,21.1536,28.1028,27.9641,22.932,13.046,22.5643,30.9353,24.0693
2890.625,26.3884,20.9827,25.9103,24.0342,30.7049,24.4113,22.3526,17.7497
2906.25,29.629,27.3373,26.1845,28.0373,16.7983,27.1564,23.6117,33.2142
2921.875,27.2042,22.1562,27.7287,26.2675,27.362,29.7541,30.8213,26.1099
2937.5,46.7288,22.4344,29.1361,32.13,18.5659,31.3408,36.0345,36.3925
2953.125,25.538,28.0267,27.2445,35.5709,28.7892,24.5592,33.2508,22.979
2968.75,35.5034,23.9457,47.8777,28.5518,25.2377,43.2345,34.0445,44.8711
2984.375,35.3521,21.9359,30.425,40.5289,24.8438,31.8922,26.2462,35.0442
3000,40.3175,28.6331,44.7104,38.6561,22.7116,41.9968,49.7966,37.6112
3015.625,37.8319,20.6485,41.9403,44.7426,27.2662,44.1316,40.5449,41.8543
3031.25,49.6809,34.2229,39.554,38.8345,29.7328,49.0374,43.4364,46.851
3046.875,39.7292,21.1486,43.6614,40.6781,25.987,34.0165,44.9456,41.7978
3062.5,45.2597,26.5433,51.2987,53.1849,23.0094,53.2056,49.2696,49.0004
3078.125,46.7239,25.4465,47.2926,43.8532,26.8384,44.4175,47.5372,40.4363
3093.75,50.9183,34.9844,42.3571,57.3082,36.9208,49.7578,51.0461,56.6428
3109.375,59.7655,19.2257,54.6197,40.5293,20.3834,49.2952,44.3866,47.7466
3125,36.6429,38.5458,47.969,52.5868,30.2381,49.1511,52.6319,48.4053
3140.625,52.0779,27.1343,51.1849,47.94,34.9035,46.8036,56.4287,46.6641
3156.25,53.3445,30.4192,47.46,57.5976,30.5702,54.7343,44.4596,55.1145
3171.875,52.1879,31.5064,48.4957,44.9533,31.8056,47.0075,50.3344,48.5995
3187.5,43.8059,29.6667,53.1863,47.3585,33.8664,43.973,49.2592,48.9253
3203.125,48.9821,38.1506,46.5944,49.4437,34.9265,47.9483,46.699,50.295
3218.75,48.1602,32.1895,45.6634,51.6826,30.4646,56.309,45.7424,45.7954
3234.375,53.0783,41.0708,43.8965,38.9242,41.3475,38.0682,42.1405,44.543
3250,34.8471,32.0317,43.4336,51.1833,38.7333,55.3262,44.5758,42.7745
3265.625,50.6538,37.2257,48.6208,38.7676,35.2002,38.6607,44.6715,46.3883
3281.25,40.0615,43.0758,37.6332,52.8914,40.2566,46.7446,42.8091,42.5986
3296.875,41.5705,37.8177,53.397,37.2498,37.6457,37.2084,46.6289,43.2662
3312.5,42.8817,42.141,38.5163,43.3686,41.2162,45.9688,38.5819,39.4257
3328.125,42.8107,42.2526,38.4112,42.2427,43.9495,42.4101,42.8292,42.4297
3343.75,48.7357,48.6264,43.9815,43.7495,49.3746,42.5158,51.8448,44.6449
3359.375,43.5443,46.2237,38.5626,38.649,37.5295,45.5951,30.5263,39.841
3375,41.208,45.2824,48.7353,42.4145,57.2699,38.9206,52.6016,43.4345
3390.625,43.1955,46.562,46.5611,49.121,48.6415,43.1541,37.7604,47.0766
3406.25,39.1808,55.5038,39.8334,43.0995,39.8232,48.8872,43.5677,45.518
3421.875,47.5535,47.6382,50.5315,46.7281,58.0987,44.0373,47.7771,42.7886
3437.5,48.774,57.7099,44.2699,45.0572,52.5529,47.4002,46.518,48.4194
3453.125,43.3988,46.7992,48.7231,44.358,49.3312,45.8929,49.2621,49.2642
3468.75,53.7636,52.2374,43.2578,48.4372,48.4418,46.5788,41.2082,46.4843
