Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
828.125,7.7497,27.4828,25.367,65.0942,26.3321,18.298,5.2883,12.8945,42.1583,23.1981,43.0755,34.9806,39.0315,37.7363,44.2134,34.637,33.0039
843.75,39.7371,35.3185,13.5543,9.5395,18.1248,40.7909,56.5515,35.8521,39.026,29.4638,20.7497,29.4979,22.5492,34.2059,21.9467,34.1454,24.5221
859.375,33.7298,42.1633,50.1672,28.2834,29.0932,69.8566,31.6001,27.6095,46.8144,52.0998,35.9262,49.259,11.9133,8.2329,26.3694,33.6169,55.2317
875,24.4951,42.6368,17.6292,23.5129,22.6955,14.7956,48.7129,35.9222,32.9849,24.3158,37.1961,23.425,35.1408,28.2063,6.8547,16.4739,34.3681
890.625,12.8214,49.9797,32.1735,46.0713,25.7563,54.638,41.6639,48.967,54.1115,22.5092,53.1069,52.4626,28.7052,57.5482,56.2812,35.629,38.3173
906.25,41.7903,43.5422,69.1115,23.1514,27.7449,39.1367,47.2289,36.7891,45.471,52.2724,40.4758,47.8628,39.161,2.7293,7.0225,30.5002,52.0297
921.875,49.9276,40.7618,52.6416,34.1655,35.5712,32.6847,41.8699,35.6942,61.1145,28.136,28.6001,48.2916,20.951,35.5673,47.2379,31.5101,34.8592
937.5,11.7984,50.8773,59.5699,51.1385,39.7632,71.1262,41.496,4.9529,44.7422,55.7816,59.1902,47.0701,32.3275,42.8956,25.0939,31.4025,52.136
953.125,45.6481,46.529,48.8032,22.1929,23.6482,27.8298,46.2031,59.991,34.7376,24.5505,41.9166,46.5184,53.7781,30.7654,44.1434,43.0574,49.969
968.75,47.7308,48.8534,31.7907,62.0214,45.2112,90.3948,58.8476,41.7221,55.2787,45.3264,58.2578,39.8094,33.727,41.2419,44.9789,38.0541,43.6804
984.375,45.695,46.8956,68.4067,48.526,37.104,55.7272,50.6132,41.2466,50.329,48.1933,31.387,56.8316,59.8415,37.6237,27.457,47.1301,48.3781
1000,46.7307,72.8466,27.8305,47.9597,42.476,54.443,57.5079,32.8401,60.8949,12.5554,64.5686,37.4793,24.5198,43.532,69.3019,35.6378,55.5028
1015.625,28.0964,43.0294,23.3053,47.8921,46.6861,72.3331,61.0616,66.2657,50.3171,91.3451,47.3747,67.0399,57.282,44.8832,29.915,58.8474,67.077
1031.25,90.4839,46.7188,86.3037,67.8923,56.9878,42.8468,51.2852,57.9019,45.0601,34.6705,55.6733,64.1395,58.8468,64.373,59.3936,39.7741,48.031
1046.875,47.8697,76.0137,34.1291,27.8524,43.9702,90.6867,54.0863,43.3467,60.9124,57.3871,51.1905,45.1601,32.2944,42.5804,29.6966,62.3708,40.7967
1062.5,53.6482,43.9831,75.6496,69.0755,60.975,35.5824,59.1997,68.9276,50.0528,80.1325,58.2047,59.4255,55.3946,50.0231,66.2705,46.9727,78.106
1078.125,65.9569,58.2822,62.6054,63.1951,51.8531,74.6383,51.4727,59.0083,71.3479,34.7648,67.4436,66.1374,61.3438,75.7092,55.2319,64.2818,52.3086
1093.75,57.9427,85.9252,64.136,50.7308,62.2152,63.48,74.087,66.2401,58.2825,58.5544,57.7022,68.988,59.3275,55.5542,64.5388,47.3335,55.2164
1109.375,54.5905,63.5295,70.6098,67.0711,65.4392,62.5065,58.6089,49.9855,81.0212,82.6012,67.5279,62.7112,66.347,71.9796,67.203,73.3809,74.9268
1125,71.6623,70.2736,58.7483,68.3367,73.4567,76.0351,74.945,90.4216,58.3025,58.0339,73.4017,76.7948,63.948,61.5141,69.3517,69.0615,73.0655
1140.625,75.8912,65.8225,73.2082,61.3121,66.5155,59.0823,73.7899,73.133,68.4134,80.1018,70.4179,73.837,66.7349,68.4483,66.9299,69.2155,63.4114
1156.25,72.0618,79.3672,76.7456,88.402,72.6013,88.5456,72.9078,50.4421,78.9256,73.2269,81.5948,60.2694,88.7146,72.8786,70.383,75.6033,79.8893
1171.875,61.8971,78.8873,66.0011,67.2739,76.1025,71.2594,80.7301,72.2759,78.5627,71.0564,66.661,91.2854,56.363,79.0091,80.2197,56.9087,78.7447
1187.5,92.5235,68.5824,81.7661,81.8809,68.887,88.5923,82.1071,77.3885,76.1737,70.2807,89.9734,81.0118,87.2016,78.9419,77.11,88.5363,69.3874
1203.125,72.62,88.4099,86.6093,67.4589,83.9525,72.9694,83.8845,85.3027,97.0028,89.5953,72.573,79.2455,62.3175,70.6424,73.3525,84.533,90.6009
1218.75,76.6471,85.1965,65.4001,86.3653,81.2562,90.2736,81.9512,84.1923,72.3823,71.0235,90.6304,87.6489,94.8754,58.6698,79.779,66.2455,89.1875
1234.375,83.6335,84.3801,87.0495,72.9973,73.1085,94.4043,96.3911,69.6476,87.5353,84.2505,82.8049,75.468,75.012,102.4351,86.998,87.647,78.2262
1250,72.4595,89.0654,71.6389,83.0358,84.5899,71.7163,76.6697,71.8957,85.0672,79.7451,92.7452,93.7285,86.333,68.2818,65.0003,72.4412,96.9965
1265.625,90.1948,85.8217,87.3338,81.802,76.537,97.2646,96.7411,93.2064,91.3211,86.2789,79.0356,95.2142,66.6375,81.4979,87.2065,88.4709,78.1589
1281.25,75.1111,86.6243,66.5162,75.6864,79.3173,86.5742,86.1529,88.9983,84.819,76.0834,97.6562,82.0892,93.1098,79.983,77.5835,75.895,99.3632
1296.875,77.0799,85.6967,88.0126,74.8947,80.2942,91.3782,93.5301,73.6208,95.8425,73.3639,95.275,91.4216,75.089,83.2828,84.7345,72.1527,81.7066
1312.5,83.091,89.5625,75.6126,89.6524,79.8135,90.0855,93.0422,65.8938,85.4048,85.7244,80.9336,78.6744,79.6818,76.9042,68.2726,87.1145,87.5312
1328.125,70.9276,81.8352,81.4013,77.332,74.6718,81.9544,78.4558,79.9678,81.4453,67.2739,79.4603,96.212,78.9766,67.8619,83.0858,69.5962,84.2571
1343.75,80.8429,97.0857,69.0281,64.5144,70.2269,89.0764,85.7192,75.1475,85.644,80.1287,88.653,82.8288,61.1955,87.8624,73.4503,76.309,90.2494
1359.375,62.385,77.318,73.2665,75.0902,85.0009,77.3439,81.0539,65.7102,81.7861,76.6983,85.9082,79.5423,74.4222,63.7211,73.9625,74.2255,78.7179
1375,79.2105,77.2498,73.3339,73.1709,58.0781,82.1406,80.0347,76.7987,85.7436,59.8892,77.4773,80.9886,72.0832,64.2354,63.8256,65.6273,82.8561
1390.625,62.2391,76.2932,58.5653,57.9448,72.0965,69.3234,79.7722,61.6951,75.2064,71.8193,72.8164,77.1771,68.7458,70.3924,78.4149,66.6688,72.5191
1406.25,63.6672,74.4889,71.2657,66.0139,54.6856,76.2143,72.7155,57.7605,64.4791,61.1945,70.3641,72.253,64.3915,68.9836,50.1147,63.6447,66.6868
1421.875,56.8694,67.8232,51.0431,61.6924,61.2313,69.4655,61.1737,61.05,69.8517,58.937,72.4375,76.2931,62.0678,52.158,57.4272,57.5176,78.795
